number of subscribers
date, pypy-dev, pypy-svn
2004/03/29, 143, 18
2004/03/30, 144, 18
2004/03/31, 144, 18
2004/04/03, 144, 18
2004/04/04, 145, 19
2004/04/07, 144, 20
2004/04/08, 145, 20
2004/04/09, 145, 20
2004/04/12, 145, 20
2004/04/13, 146, 20
2004/04/14, 146, 20
2004/04/15, 145, 19
2004/04/17, 146, 19
2004/04/19, 146, 19
2004/04/20, 146, 19
2004/04/21, 146, 19
2004/04/22, 146, 19
2004/04/23, 147, 19
2004/04/24, 147, 19
2004/04/26, 147, 19
2004/04/27, 147, 19
2004/04/28, 147, 19
2004/04/29, 146, 19
2004/04/30, 146, 19
2004/05/05, 146, 19
2004/05/10, 144, 19
2004/05/11, 144, 18
2004/05/12, 144, 18
2004/05/14, 144, 18
2004/05/15, 144, 18
2004/05/16, 145, 18
2004/05/19, 145, 18
2004/05/24, 145, 19
2004/05/26, 146, 19
2004/05/27, 146, 19
2004/05/28, 145, 19
2004/05/29, 145, 19
2004/05/30, 145, 19
2004/06/01, 145, 19
2004/06/02, 145, 18
2004/06/05, 145, 19
2004/06/08, 145, 19
2004/06/15, 145, 19
2004/06/16, 145, 19
2004/06/17, 146, 19
2004/06/18, 144, 19
2004/06/19, 145, 19
2004/06/20, 145, 19
2004/06/21, 145, 19
2004/06/22, 145, 19
2004/06/23, 145, 19
2004/06/24, 145, 19
2004/06/25, 145, 19
2004/06/28, 145, 19
2004/06/29, 144, 19
2004/06/30, 144, 19
2004/07/01, 144, 19
2004/07/02, 145, 19
2004/07/03, 146, 19
2004/07/08, 146, 19
2004/07/09, 146, 19
2004/07/10, 145, 19
2004/07/12, 144, 19
2004/07/13, 144, 19
2004/07/15, 145, 19
2004/07/18, 145, 19
2004/07/19, 144, 19
2004/07/20, 144, 19
2004/07/21, 144, 19
2004/07/22, 144, 19
2004/07/23, 144, 19
2004/07/24, 144, 19
2004/07/25, 143, 19
2004/07/26, 145, 19
2004/07/27, 145, 19
2004/07/28, 145, 19
2004/07/29, 145, 19
2004/07/30, 145, 19
2004/07/31, 145, 19
2004/08/01, 145, 19
2004/08/02, 145, 19
2004/08/03, 145, 19
2004/08/04, 145, 19
2004/08/05, 144, 19
2004/08/06, 144, 19
2004/08/09, 144, 19
2004/08/10, 144, 19
2004/08/11, 144, 19
2004/08/12, 144, 19
2004/08/13, 145, 19
2004/08/14, 146, 19
2004/08/15, 146, 19
2004/08/30, 145, 19
2004/08/31, 145, 19
2004/09/02, 145, 19
2004/09/03, 145, 19
2004/09/06, 146, 19
2004/09/09, 146, 19
2004/09/10, 146, 19
2004/09/13, 146, 19
2004/09/15, 146, 19
2004/09/16, 146, 19
2004/09/17, 146, 19
2004/09/18, 146, 19
2004/09/19, 146, 19
2004/09/22, 146, 19
2004/09/23, 147, 19
2004/09/24, 147, 19
2004/09/25, 146, 20
2004/09/26, 146, 20
2004/09/27, 146, 20
2004/09/28, 146, 20
2004/09/29, 146, 20
2004/09/30, 146, 20
2004/10/01, 146, 20
2004/10/02, 146, 20
2004/10/03, 146, 20
2004/10/05, 146, 20
2004/10/06, 146, 20
2004/10/07, 146, 20
2004/10/08, 145, 20
2004/10/09, 145, 20
2004/10/10, 145, 20
2004/10/11, 145, 20
2004/10/14, 145, 20
2004/10/15, 145, 20
2004/10/17, 146, 20
2004/10/18, 146, 20
2004/10/19, 146, 20
2004/10/20, 146, 21
2004/10/21, 146, 21
2004/10/22, 145, 21
2004/10/26, 145, 21
2004/10/27, 145, 21
2004/10/28, 145, 21
2004/10/29, 146, 22
2004/10/30, 146, 22
2004/10/31, 146, 22
2004/11/01, 146, 22
2004/11/02, 146, 22
2004/11/03, 146, 22
2004/11/04, 146, 22
2004/11/05, 146, 22
2004/11/08, 146, 22
2004/11/09, 146, 22
2004/11/10, 147, 22
2004/11/11, 147, 22
2004/11/12, 147, 22
2004/11/15, 148, 22
2004/11/16, 148, 23
2004/11/17, 149, 23
2004/11/18, 149, 23
2004/11/19, 149, 24
2004/11/20, 149, 24
2004/11/22, 149, 24
2004/11/23, 149, 24
2004/11/25, 148, 24
2004/11/26, 148, 24
2004/11/27, 147, 24
2004/11/28, 148, 24
2004/11/29, 148, 24
2004/11/30, 148, 24
2004/12/01, 147, 24
2004/12/02, 147, 24
2004/12/03, 147, 24
2004/12/06, 150, 25
2004/12/07, 150, 25
2004/12/08, 150, 26
2004/12/09, 150, 26
2004/12/10, 151, 26
2004/12/13, 152, 26
2004/12/14, 153, 26
2004/12/16, 154, 26
2004/12/17, 154, 26
2004/12/18, 156, 25
2004/12/19, 156, 25
2004/12/20, 157, 25
2004/12/21, 157, 25
2004/12/22, 157, 26
2004/12/23, 157, 26
2004/12/24, 157, 26
2004/12/26, 157, 26
2004/12/27, 157, 26
